,date,boundsId,weight,quantity
336,2019-05-11 02:00:00,164,930.0,
337,2019-04-30 02:00:00,164,,
338,2019-04-29 02:00:00,164,250.0,
339,2018-10-14 02:00:00,165,2200.0,
340,2019-04-22 02:00:00,166,50.0,
341,2019-08-31 02:00:00,166,60.0,
342,2019-09-30 02:00:00,166,150.0,
343,2019-09-30 02:00:00,166,630.0,
344,2019-10-05 02:00:00,166,850.0,
345,2019-05-22 02:00:00,166,3160.0,
346,2020-06-13 02:00:00,167,60.0,
347,2020-06-14 02:00:00,167,120.0,
348,2018-05-03 02:00:00,167,,
349,2019-09-30 02:00:00,167,1200.0,
350,2018-05-13 02:00:00,167,,
351,2019-03-28 01:00:00,170,200.0,
352,2019-05-05 02:00:00,174,50.0,
353,2017-05-13 02:00:00,175,,
354,2018-05-05 02:00:00,175,200.0,
355,2018-05-05 02:00:00,175,150.0,
356,2017-04-08 02:00:00,177,,
357,2018-04-08 02:00:00,177,,
358,2018-05-05 02:00:00,177,,
359,2019-10-26 02:00:00,177,1850.0,
360,2020-03-21 01:00:00,177,70.0,
361,2018-05-01 02:00:00,177,1000.0,
362,2019-03-03 01:00:00,177,,
363,2019-03-03 01:00:00,177,,
364,2019-03-03 01:00:00,177,400.0,
365,2018-05-02 02:00:00,177,30.0,
366,2018-05-31 02:00:00,177,,
367,2018-09-16 02:00:00,177,120.0,
368,2019-09-19 02:00:00,177,200.0,
369,2016-05-07 02:00:00,178,75.0,
370,2018-04-30 02:00:00,178,200.0,
371,2017-10-22 02:00:00,178,,
372,2019-04-06 02:00:00,178,1760.0,
373,2016-03-01 01:00:00,179,10000.0,
374,2017-05-04 02:00:00,179,,
375,2017-10-21 02:00:00,179,,
376,2018-04-22 02:00:00,179,1500.0,
377,2018-10-20 02:00:00,179,1650.0,
378,2019-03-14 01:00:00,179,400.0,
379,2020-02-29 01:00:00,179,1200.0,
380,2017-09-27 02:00:00,180,,
381,2018-04-15 02:00:00,180,,
382,2019-09-15 02:00:00,180,1500.0,
383,2020-03-15 01:00:00,180,2000.0,
384,2020-03-07 01:00:00,180,1600.0,
385,2019-05-16 02:00:00,180,,
386,2020-08-26 02:00:00,181,800.0,
387,2017-04-22 02:00:00,181,2500.0,
388,2020-04-17 02:00:00,181,,
389,2019-10-31 01:00:00,181,2000.0,
390,2018-10-27 02:00:00,182,930.0,
391,2017-03-12 01:00:00,183,114.0,
392,2018-05-22 02:00:00,183,400.0,
393,2018-05-03 02:00:00,183,,
394,2018-10-01 02:00:00,183,,
395,2018-05-13 02:00:00,184,114.0,
396,2018-05-26 02:00:00,184,,
397,2019-12-31 01:00:00,184,,
398,2017-05-21 02:00:00,190,,
399,2020-05-17 02:00:00,191,70.0,
400,2017-03-12 01:00:00,191,60.0,
401,2017-04-29 02:00:00,191,3020.0,
402,2018-05-05 02:00:00,191,700.0,
403,2019-05-04 02:00:00,191,450.0,
404,2018-10-01 02:00:00,191,30.0,
405,2019-03-30 01:00:00,191,100.0,
406,2019-05-11 02:00:00,191,,
407,2019-11-09 01:00:00,193,1200.0,
408,2018-05-02 02:00:00,193,2000.0,
409,2017-05-02 02:00:00,194,250.0,
410,2017-05-02 02:00:00,194,230.0,
411,2017-09-30 02:00:00,194,,
412,2017-05-06 02:00:00,195,2500.0,
413,2017-05-08 02:00:00,195,,
414,2018-05-13 02:00:00,195,40.0,
415,2018-05-11 02:00:00,195,1000.0,
416,2020-02-03 01:00:00,195,4750.0,
417,2017-11-22 01:00:00,196,,
418,2018-04-26 02:00:00,196,,
419,2018-07-04 02:00:00,199,,
420,2018-05-04 02:00:00,199,450.0,
421,2017-06-09 02:00:00,199,,
422,2018-05-05 02:00:00,199,550.0,
423,2018-05-04 02:00:00,199,900.0,
424,2018-11-11 01:00:00,199,,
425,2019-09-18 02:00:00,210,1000.0,
426,2017-05-05 02:00:00,211,,
427,2017-11-20 01:00:00,211,,
428,2019-04-07 02:00:00,211,200.0,
429,2018-05-12 02:00:00,211,20.0,
430,2018-05-13 02:00:00,211,15.0,
431,2018-05-05 02:00:00,211,250.0,
432,2017-05-05 02:00:00,212,,
433,2017-04-16 02:00:00,212,,
434,2017-06-03 02:00:00,212,,
435,2019-04-20 02:00:00,212,950.0,
436,2018-04-26 02:00:00,212,,
437,2019-05-03 02:00:00,212,450.0,
438,2018-05-13 02:00:00,212,0.0,
439,2019-05-06 02:00:00,212,100.0,
440,2015-05-09 02:00:00,212,800.0,
441,2018-05-07 02:00:00,213,,
442,2017-10-06 02:00:00,215,670.0,
443,2019-04-15 02:00:00,215,,
444,2018-05-03 02:00:00,215,,
445,2015-05-09 02:00:00,215,300.0,
446,2019-04-29 02:00:00,216,,
447,2018-09-30 02:00:00,220,1000.0,
448,2018-05-13 02:00:00,221,194.0,
449,2020-02-09 01:00:00,228,915.0,
450,2017-04-04 02:00:00,230,0.0,
451,2018-03-17 01:00:00,230,5500.0,
452,2019-11-20 01:00:00,230,6200.0,
453,2020-05-18 02:00:00,230,750.0,
454,2018-05-13 02:00:00,230,100.0,
455,2018-09-05 02:00:00,232,180.0,
456,2019-09-18 02:00:00,232,100.0,
457,2018-05-30 02:00:00,237,,
458,2017-10-25 02:00:00,244,2300.0,
459,2017-10-15 02:00:00,244,250.0,
460,2017-05-10 02:00:00,245,1500.0,
461,2017-10-22 02:00:00,245,4000.0,
462,2017-09-20 02:00:00,245,3500.0,
463,2018-08-27 02:00:00,247,1400.0,
464,2019-04-25 02:00:00,249,370.0,
465,2019-09-19 02:00:00,249,1000.0,
466,2017-05-06 02:00:00,252,,
467,2018-05-05 02:00:00,252,3500.0,
468,2019-04-17 02:00:00,255,20.0,
